"","state","dem_mean","rep_mean","first_dem","first_rep","std","std_c","uncertain","dem_win","inc_win","incparty_win","surprise","min_mean","min_first","tight","margin1","margin2","tight_c","margin1_c","margin2_c","margin2_p","closeness","margin","dem","inc","incparty"
"1","DE",67.9012346,32.0987654,67.9012346,32.0987654,1.71683673469388,1.71683673469388,0,1,0,0,0,32.0987654,32.0987654,0,0,0,0,0,0,0,2.82608479156542e-16,0.0279310344326754,1,0,0
"2","IN",32.1595094631746,67.8404905368254,38.1578947,61.8421053,1.05323511330454,2.04234693877551,0.166666666666667,-1,0,0,0,32.1595094631746,38.1578947,0,0,0,3.34986849370722e-09,1.40029681183762e-08,5.52200546399817e-08,0,3.19114700304825e-16,0.0280261352101236,0,0,0
"3","MO",46.7422803523145,53.2577196476855,46.8085106,53.1914894,0.698045604908283,1.5734693877551,1.83333333333333,-1,0,0,0,46.7422803523145,46.8085106,1.52877717773947e-06,3.89729336918165e-05,0.000609612429378403,0.0212641245560958,0.0435826163779662,0.0818438651671038,0,0.00148040542135501,0.153481592670269,0,0,0
"4","MT",47.7616050706808,52.2383949293192,47.826087,52.173913,0.672522430983021,1.64795918367347,2.5,-1,1,1,0,47.7616050706808,47.826087,0.000436798764144375,0.0048705365948517,0.0327801613852201,0.0935587100132993,0.154874448390858,0.238126049048747,0,0.011369853470993,0.223374344469262,0,1,1
"5","NC",55.3694427262941,44.6305572737059,56.122449,43.877551,0.382595441296117,2.80612244897959,1.33333333333333,1,0,0,0,44.6305572737059,43.877551,0,0,0,0.0145614768077108,0.0225545134039139,0.0339662317213949,0,2.16850938548065e-05,0.0931195331596524,1,0,0
"6","ND",30,70,30,70,2.23469387755102,2.23469387755102,0,-1,0,0,0,30,30,0,0,0,0,0,0,0,4.24835425529159e-18,0.025,0,0,0
"7","NH",38.5616380521191,61.4383619478809,47.4226804,52.5773196,0.594215541721482,1.70102040816327,0.666666666666667,-1,0,0,0,38.5616380521191,47.4226804,0,0,0,0.0648658320367129,0.111001427257775,0.176890985150483,0,1.16082044371463e-10,0.043712552748222,0,0,0
"8","UT",34.4746052924721,65.5253947075279,36.2637363,63.7362637,0.932415719304713,1.94642857142857,0,-1,1,0,0,34.4746052924721,36.2637363,0,0,0,8.49653680745632e-13,5.22071275099734e-12,3.00675040421083e-11,0,3.27200153169033e-14,0.0322053003752338,0,1,0
"9","VT",30.3797468,69.6202532,30.3797468,69.6202532,2.07142857142857,2.07142857142857,0.166666666666667,-1,0,0,0,30.3797468,30.3797468,0,0,0,0,0,0,0,9.07955582888324e-18,0.0254838709217066,0,0,0
"10","WA",58.2101043811522,41.7898956188478,59,41,1.21987930952515,2.29591836734694,0,1,0,0,0,41.7898956188478,41,8.46800407572346e-12,1.30457977753906e-10,1.70528868803643e-09,4.42744843121012e-05,0.000106859648187241,0.000246579915108125,0,7.39254442095206e-08,0.0609005655455296,1,0,0
"11","WV",39.4594840873303,60.5405159126697,39.7727273,60.2272727,1.58558587156274,2.14285714285714,0.5,-1,0,0,0,39.4594840873303,39.7727273,1.48843160019396e-11,1.20712106976839e-10,8.8823726152043e-10,9.08739211213927e-07,2.82080760327652e-06,8.30937762319461e-06,0,6.99236685362864e-10,0.0474360082696712,0,0,0
